1047:14-1047:36 | ArithmeticOperator | Survived | "current.x + previous.x"
1048:14-1048:36 | ArithmeticOperator | Survived | "current.y + previous.y"
1049:7-1049:27 | ConditionalExpression | Survived | "true"
1053:7-1053:43 | ConditionalExpression | Survived | "false"
1053:36-1053:43 | StringLiteral | Survived | "\"\""
1056:7-1056:44 | ConditionalExpression | Survived | "false"
1059:7-1059:24 | EqualityOperator | Survived | "pointers.size <= 2"
1059:7-1059:39 | ConditionalExpression | Survived | "true"
1059:7-1059:39 | LogicalOperator | Survived | "pointers.size < 2 || state.pinch"
1059:7-1059:24 | ConditionalExpression | Survived | "true"
1061:12-1061:46 | OptionalChaining | Survived | "state.options.zoom.onZoomComplete"
1061:48-1061:59 | ArrayDeclaration | Survived | "[]"
1061:49-1061:58 | ObjectLiteral | Survived | "{}"
1063:7-1063:72 | ConditionalExpression | Survived | "false"
1063:30-1063:56 | OptionalChaining | Survived | "state.options.pan.enabled"
1063:60-1063:72 | BooleanLiteral | Survived | "state.pinch"
1063:74-1070:4 | BlockStatement | Survived | "{}"
1069:21-1069:26 | BooleanLiteral | Survived | "true"
1070:14-1070:33 | ConditionalExpression | Survived | "true"
1071:31-1071:63 | OptionalChaining | Survived | "state.options.pan.onPanComplete"
1071:65-1071:76 | ArrayDeclaration | Survived | "[]"
1071:66-1071:75 | ObjectLiteral | Survived | "{}"
1072:21-1072:26 | BooleanLiteral | Survived | "true"
1093:26-1093:37 | StringLiteral | Survived | "\"\""
1094:26-1094:37 | StringLiteral | Survived | "\"\""
1096:26-1096:35 | StringLiteral | Survived | "\"\""
1102:46-1102:61 | StringLiteral | Survived | "\"\""
1110:26-1110:39 | StringLiteral | Survived | "\"\""
1111:26-1111:39 | StringLiteral | Survived | "\"\""
1112:26-1112:37 | StringLiteral | Survived | "\"\""
1113:26-1113:41 | StringLiteral | Survived | "\"\""
1118:24-1118:35 | StringLiteral | Survived | "\"\""
1119:24-1119:35 | StringLiteral | Survived | "\"\""
1120:24-1120:33 | StringLiteral | Survived | "\"\""
1121:24-1121:31 | StringLiteral | RuntimeError | "\"\""
1122:24-1122:31 | StringLiteral | Survived | "\"\""
1123:24-1123:33 | StringLiteral | Survived | "\"\""
1124:24-1124:37 | StringLiteral | Survived | "\"\""
1125:24-1125:37 | StringLiteral | Survived | "\"\""
1126:24-1126:35 | StringLiteral | Survived | "\"\""
